date,open,high,low,close,volume
2020-11-01,13816.08,13907.47,13629.31,13749.3,649.85
2020-10-31,13562.13,14100,13420.97,13816.08,6337.39
2020-10-30,13468.44,13675.56,13129.26,13562.13,8981.12
2020-10-29,13274.73,13650,12993,13468.44,8894.96
2020-10-28,13647.9,13864.89,12892,13274.73,10670.86
2020-10-27,13066.73,13788,13057.09,13647.9,11242.75
2020-10-26,13039.09,13250,12773.5,13066.73,5725.2
2020-10-25,13122.73,13363.53,12903.74,13039.09,3658.6
2020-10-24,12941.59,13182.83,12887.38,13122.73,2820.82
2020-10-23,12983.26,13037.26,12729.82,12941.59,4996.4
2020-10-22,12802.67,13208.25,12686.73,12983.26,9277.56
2020-10-21,11921.11,13235,11899.1,12802.67,20093.61
2020-10-20,11764.14,12059.94,11680,11921.11,5859.84
2020-10-19,11519.97,11840,11409.94,11764.14,5459.93
2020-10-18,11365.8,11526.34,11352.79,11519.97,1047.17
2020-10-17,11321.86,11415.48,11264.01,11365.8,1124.42
2020-10-16,11511.11,11548.65,11200,11321.86,4309.22
2020-10-15,11428.84,11623.6,11250.01,11511.11,4864.43
2020-10-14,11427.98,11555.1,11287.42,11428.84,3788.25
2020-10-13,11535.98,11567.4,11314.53,11427.98,5097.96
2020-10-12,11372.93,11731.7,11175.99,11535.98,7088.23
2020-10-11,11356.85,11447.44,11267.31,11355.49,2292.87300784
2020-10-10,11076.94,11496.06,11050.0,11356.85,3119.29338641
2020-10-09,10902.0,11118.49,10826.4,11076.94,5417.56137456
2020-10-08,10657.23,10957.0,10535.06,10902.0,6956.59659371
2020-10-07,10589.65,10682.56,10547.71,10657.23,5624.70759264
2020-10-06,10754.51,10805.82,10525.0,10589.65,4698.72623518
2020-10-05,10661.17,10805.34,10620.71,10754.51,3573.510753
2020-10-04,10558.32,10699.88,10524.81,10661.17,1060.36896748
2020-10-03,10558.05,10605.79,10500.0,10558.32,1136.58695046
2020-10-02,10604.95,10667.53,10380.0,10558.05,8381.00475877
2020-10-01,10742.51,10940.22,10437.08,10604.95,8647.28256892
2020-09-30,10765.43,10865.0,10658.56,10742.51,4495.66455031
2020-09-29,10863.39,10864.46,10628.52,10765.43,4377.42702415
2020-09-28,10752.05,10950.0,10731.4,10863.39,4492.7386631
2020-09-27,10735.0,10807.14,10593.58,10752.05,2333.62013534
2020-09-26,10689.6,10830.0,10655.29,10735.0,2455.150485
2020-09-25,10770.0,10770.0,10553.14,10689.6,6693.02573361
2020-09-24,10263.58,10795.53,10193.2,10770.0,6430.67154076
2020-09-23,10511.75,10541.39,10138.3,10263.58,5650.54842969
2020-09-22,10482.95,10573.05,10353.39,10511.75,4946.53364605
2020-09-21,10878.5,10996.98,10286.56,10482.95,9913.2318077
2020-09-20,11066.19,11089.17,10755.9,10878.5,3184.35371402
2020-09-19,10933.85,11183.01,10890.53,11066.19,2201.44110151
2020-09-18,10921.72,11040.18,10816.54,10933.85,4421.35971539
2020-09-17,11021.9,11054.0,10739.23,10921.72,5613.28263613
2020-09-16,10778.76,11100.0,10662.81,11021.9,8257.45603696
2020-09-15,10650.34,10940.01,10611.17,10778.76,6537.40116855
2020-09-14,10310.98,10765.03,10250.13,10650.34,7283.97990615
2020-09-13,10439.9,10576.78,10214.9,10310.98,4218.77869588
2020-09-12,10370.05,10482.42,10275.0,10439.9,2638.15920195
2020-09-11,10347.5,10408.69,10200.5,10370.05,5259.03395539
2020-09-10,10281.41,10495.75,10171.84,10347.5,10332.86886888
2020-09-09,10111.63,10353.39,9981.38,10281.41,5752.06391659
2020-09-08,10403.85,10446.18,9825.07,10111.63,10627.95276814
2020-09-07,10211.71,10403.85,9880.0,10403.85,8626.07160687
2020-09-06,10005.13,10353.39,9955.0,10211.71,5344.90160118
2020-09-05,10469.26,10567.9,9850.0,10005.13,12466.78669068
2020-09-04,10667.43,10685.43,9902.43,10469.26,20797.54115072
2020-09-03,11444.37,11477.35,10455.0,10667.43,14747.24530638
2020-09-02,11974.39,12018.47,11155.32,11444.37,13194.80794354
2020-09-01,11652.01,12065.82,11515.0,11974.39,7686.97594612
2020-08-31,11660.0,11780.0,11573.39,11652.01,4737.63606564
2020-08-30,11479.01,11687.01,11458.62,11660.0,2079.42596101
2020-08-29,11477.42,11592.0,11423.64,11479.01,2116.64923875
2020-08-28,11274.0,11555.61,11274.81,11477.42,6064.20489511
2020-08-27,11451.65,11602.92,11122.72,11274.0,7810.31317863
2020-08-26,11358.31,11549.8,11250.14,11451.65,4329.98715861
2020-08-25,11752.73,11789.82,11112.75,11358.31,6975.57525172
2020-08-24,11645.73,11832.55,11588.61,11752.73,2865.19011082
2020-08-23,11669.05,11715.09,11524.7,11645.73,1634.45143961
2020-08-22,11551.56,11692.37,11367.0,11669.05,3497.42067213
2020-08-21,11830.59,11887.67,11485.49,11551.56,6320.82413882
2020-08-20,11752.1,11894.12,11675.29,11830.59,4483.13896748
2020-08-19,12048.83,12050.59,11574.4,11752.1,9397.3229297
2020-08-18,12383.04,12448.42,11823.0,12048.83,9283.88557629
2020-08-17,11907.95,12473.0,11771.44,12383.04,9027.91601318
2020-08-16,11860.45,11938.55,11685.97,11907.95,2538.77125772
2020-08-15,11789.31,11986.93,11667.7,11860.45,3911.18046196
2020-08-14,11746.51,11862.0,11652.01,11789.31,5744.33259201
2020-08-13,11550.11,11806.61,11270.91,11746.51,6619.73205596
2020-08-12,11345.6,11625.0,11150.0,11550.11,5830.16968264
2020-08-11,11827.47,11945.05,11130.0,11345.6,10436.78938498
2020-08-10,11686.49,12080.0,11510.0,11827.47,7594.96062643
2020-08-09,11751.0,11808.28,11527.92,11686.49,2756.62124888
2020-08-08,11596.23,11817.95,11527.0,11751.0,3974.68253801
2020-08-07,11792.64,11920.0,11219.0,11596.23,10656.29797171
2020-08-06,11640.02,11913.5,11575.57,11792.64,10047.08500529
2020-08-05,11234.07,11795.86,11094.35,11640.02,7087.49803279
2020-08-04,11222.2,11420.0,11000.79,11234.07,5641.29510549
2020-08-03,11125.71,11480.0,10933.26,11222.2,7103.43398989
2020-08-02,11798.86,12100.0,10559.59,11125.71,12543.54828281
